phase	slice_id	title	depends_on	status	goal
4	CA-4.4	Ownership encumbrances, nominee/trust and control relationships	CA-4.3	OPEN	Represent legal restrictions and differences between registered, economic and controlling ownership.
4	CA-4.5	Beneficial-owner cases, disclosure, attestation and discrepancy	CA-4.4	OPEN	Create an evidence-based UBO process rather than a single percentage field.
4	CA-4.6	Distributions, entitlement snapshots and Phase 4 reconciliation	CA-4.5	OPEN	Own the legal declaration and entitlement basis while leaving payment execution to Payments.
5	CA-5.1	Property interests and title register	Phase 4 DONE	OPEN	Record property/title and occupancy interests separately from financial asset accounting.
5	CA-5.2	Corporate assets and intellectual property	CA-5.1	OPEN	Maintain administrative asset and IP rights history with accounting/document references.
5	CA-5.3	Insurance-policy administration	CA-5.2	OPEN	Track corporate insurance coverage, insured subjects and renewal history.
5	CA-5.4	Registered charges and security interests	CA-5.3	OPEN	Maintain charge/security-interest registration, priority, variation and release.
5	CA-5.5	Licence and permit lifecycle	CA-5.4	OPEN	Track company/establishment licences, conditions, renewals and adverse status.
5	CA-5.6	Administrative bank registrations, mandates and boundary journey	CA-5.5	OPEN	Record masked bank identity and signing mandates while proving CA never moves money.
6	CA-6.1	Group-control graph and ownership evidence	Phase 5 DONE	OPEN	Represent direct and indirect control among internal legal companies and external parties.
6	CA-6.2	Related-party relationships and declarations	CA-6.1	OPEN	Record related-party classifications derived from group, officer, ownership or other policies.
6	CA-6.3	Material agreements and lifecycle events	CA-6.2	OPEN	Administer legally material agreements without replacing the transactional package that owns their business execution.
6	CA-6.4	Corporate-action case framework	CA-6.3	OPEN	Create a bounded case mechanism for legal-company changes without building a generic workflow engine.
6	CA-6.5	Corporate-action effects and lifecycle journeys	CA-6.4	OPEN	Implement legal effects for incorporation, name/form change, conversion, merger/reorganization, restoration, strike-off, winding-up and dissolution.
7	CA-7.1	Corporate documents, versions and typed links	Phase 6 DONE	OPEN	Create a secure metadata authority for documents connected to every CA subject.
7	CA-7.2	Retention, legal holds and certified statutory registers	CA-7.1	OPEN	Protect retention/disposition and generate immutable certified register evidence.
7	CA-7.3	Compliance rule packs and company profiles	CA-7.2	OPEN	Install versioned jurisdiction rules and determine company-specific applicability.
7	CA-7.4	Filing obligations, adjustments and due engine	CA-7.3	OPEN	Generate and maintain statutory obligations from applicable rules and corporate events.
7	CA-7.5	Filing preparation, approval, submission and authority response	CA-7.4	OPEN	Complete the filing lifecycle without falsely claiming regulator e-filing.
7	CA-7.6	Regulatory change impact, due/overdue journey and Phase 7 closure	CA-7.5	OPEN	Detect rule changes, assess affected companies/obligations and close the compliance user journey.
8	CA-8.1	Search projectors, checkpoints and rebuild	Phase 7 DONE	OPEN	Provide redacted tenant-scoped search without making the index authoritative.
8	CA-8.2	Reminder eligibility and dispatch handoff	CA-8.1	OPEN	Handoff deterministic reminders for expiries, due filings, declarations, actions and vacancies.
8	CA-8.3	Controlled import workflow	CA-8.2	OPEN	Import greenfield or migration data through validation, dry run, approval, quarantine and public commands.
8	CA-8.4	Exports, reconciliation and entity health	CA-8.3	OPEN	Produce deterministic register exports and continuously expose discrepancies/completeness.
8	CA-8.5	Enterprise security, accessibility, performance, observability and recovery	CA-8.4	OPEN	Harden every shipped surface and prove operational recovery.
8	CA-8.6	Full verification matrix, migration rehearsal and activation	CA-8.5	OPEN	Activate the module only when every required lane and governance register is green.
