hr_ent_id	requirement	enterprise_md_severity	consolidated_status	evidence_refs	blocking_finding_ids	owning_repair_mission	notes
HR-ENT-11	Reporting read projections	Major	partial	30-governance-risk-planning-cluster.md	HR-GOV-P1-002	HR-ENT-WFP-VARIANCE-ACTUALS	OPEN-DECISION-C1 RATIFIED (Slice 0.2) → employment/assignment actuals; current query still reservation-consumed until owner mission
HR-ENT-12	HR product surfaces	Major	gap	10-workforce-foundation-cluster.md; 20-workforce-operations-cluster.md; 30-governance-risk-planning-cluster.md	HR-OPS-P1-003; HR-GOV-P1-004; HR-COREORG-P1-005	HR-ENT-07-PRODUCT-LEAVE-ACTIONS; HR-ENT-12-GOV-PRODUCT-SLICE	Time Actions exist; leave/gov/core/recruitment product Actions absent
HR-ENT-13	HR operational readiness	Major	partial	01-cross-cutting-baseline.md	HR-XCUT-P0-003	HR-XCUT-EMISSION-REGISTRY	Audit/outbox exist; incomplete emission map blocks correlation CI
HR-ENT-14	Production attendance ingestion	Major	partial	20-workforce-operations-cluster.md	HR-OPS-P2-005	HR-ENT-14-ATTENDANCE-CONNECTOR	Fail-closed port by design; inline import is production path
HR-ENT-15	Structural ownership singular	Pass	complete	00-authority-map.md; cluster-a/01-domain-findings.md	HR-COREORG-P2-001 (non-blocking)	HR-COREORG-STRUCTURE-ALIGN (doc-only)	No duplicate root store.ts/schemas.ts; folder/store naming friction only
HR-ENT-16	Domain depth	Major	partial	10-workforce-foundation-cluster.md; 20-workforce-operations-cluster.md; 30-governance-risk-planning-cluster.md	HR-OPS-P0-001; HR-GOV-P1-002	Multiple domain missions	Time strongest; HR-COREORG-P0-001 CLOSED (Slice 0.1); HR-OPS-P1-005 calendar CLOSED (Slice 1.1); leave emission still open; comp/perf/learning unaudited-depth
HR-ENT-17	Module Enterprise Readiness evidence	Observation	observation-only	00-authority-map.md	—	—	Docs lane dormant; do not claim MOD readiness
HR-ENT-18	Package quality gates	Pass	partial	10-workforce-foundation-cluster.md; 30-governance-risk-planning-cluster.md	HR-GOV-P2-006	HR-OPS-LEAVE-EMISSION-REGISTRY	HR-COREORG-P0-001 / consent align CLOSED (Slice 0.1); HR-OPS-P1-005 calendar CLOSED (Slice 1.1); HR-GOV-P2-004 WFP reservation CLOSED (Slice 1.3); remaining blocker = sensitive coverage
HR-ENT-19	Monorepo module governance	Pass	complete	00-authority-map.md	HR-XCUT-P1-003 (enterprise.md only)	Scratch doc refresh	Slice 0.3 pack + README = 286/141/99/106 match disk; residual = enterprise.md 284/138/98 only
HR-ENT-16-COMP	compensation-benefits domain depth	Major	unaudited-depth	04-domain-cluster-audit-contract.md scope bounce	—	HR-AUD follow-on	Excluded from AUD-03 Prompt 2C; no dedicated pack; OPEN scope conflict AUD-02 vs AUD-03
HR-ENT-16-PERF	performance domain depth	Major	unaudited-depth	04-domain-cluster-audit-contract.md scope bounce	—	HR-AUD follow-on	Same orphan status as compensation
HR-ENT-16-LEARN	learning domain depth	Major	unaudited-depth	04-domain-cluster-audit-contract.md scope bounce	—	HR-AUD follow-on	Same orphan status; partial apps/web hr-learning Actions only
