concept	current_definitions	paths_symbols	identical_or_conflicting	canonical_owner	derivation_direction	severity	affected_domain_clusters
Status types and schemas	Per-domain status unions in `shared/*-status.ts` and domain schemas	`src/shared/employment-status.ts` · `src/shared/leave-status.ts` · etc.	Identical pattern; ownership per domain folder	Domain `shared/*-status.ts` + `src/schemas/{domain}.ts`	Schema → type → store enum/check constraint	P2	A,B,C
Error codes	Semantic `human_resources.*` strings attached via `humanResourcesErrorDetails`	`src/error-codes.ts`	Identical	`src/error-codes.ts`	Domain command → `@afenda/errors` Result fail code mapping	P2	A,B,C
Store result records	`Result<T>` from `@afenda/errors/result`; domain types in `types.ts`	`src/types.ts` · store method signatures in `src/store/*`	Identical envelope; DTO shapes vary by domain	`@afenda/errors/result` + per-domain `types.ts`	Store → command → ActionResult at app boundary	P2	A,B,C
Payroll handoff records	Time payroll handoff events + approved compensation handoff commands	`src/time/*` · `src/mutation-emission-registry.ts#HUMAN_RESOURCES_TIME_PAYROLL_HANDOFF_READY` · compensation commands	**OPEN-DECISION:** exact payroll input contract owner (`@afenda/payroll` vs HR event payload)	HR emits facts; payroll owns calculation (`docs-V2/_scratch/erp/human-resource.md`)	HR command/event → payroll consumer	P1	B,C
Platform facts	`integrations/platform-facts.ts` maps HR events → workflow/notification/identity/search facts	`src/integrations/platform-facts.ts` · apps/web platform modules	Identical projection pattern	`src/integrations/platform-facts.ts` (HR-side) · apps/web handlers (delivery)	Outbox event → platform fact → downstream package	P1	A,B,C
Privacy / retention	`HUMAN_RESOURCES_RETENTION_POLICIES` + `HumanResourcesPrivacyPort` interface	`src/privacy.ts` · `src/command-options.ts#requirePrivacyPort`	**Conflicting:** port defined but **not wired or called**	`src/privacy.ts` (policy SSOT) · platform DSAR owner OPEN-DECISION	Policy constants now; port implementation at platform boundary	P0	A,B,C
Sensitive operation policies	Prefix rules mapping commands/queries → resource type + subject policy	`src/sensitive-operation-policies.ts` · tested via `contextual-authorization-privacy.test.ts`	Identical with contextual-authorization; **not enforced uniformly in commands**	`sensitive-operation-policies.ts` + `contextual-authorization.ts`	Operation id → policy → authorization decision	P1	A,B,C
Mutation table registry	106 table names in `HUMAN_RESOURCES_MUTATION_TABLES`	`src/mutation-tables.ts` · `hard-tenant-roots.ts`	Identical with hard-tenant SSOT (0 drift)	`src/mutation-tables.ts`	Schema DDL → manifest → mutation tables list	P2	A,B,C
Effective-truth adoption scope	33 tables in `HUMAN_RESOURCES_EFFECTIVE_TRUTH_EXPECTED_TABLES`; validator checks expected set only	`src/effective-truth-adoption.ts#validateEffectiveTruthAdoptionMatrix`	**Conflicting vs HR-ENT-05 wording:** package-wide claim vs 33-table scope	`src/effective-truth-adoption.ts` (matrix) · enterprise.md (requirement wording)	Matrix row → domain implementation evidence	P0	A,B,C
Store interface composition	`HumanResourcesStore` intersects 15 domain store types; org persistence methods on `HumanResourcesCoreStore`	`src/store/index.ts` · `src/store/core.ts` · adapters split `core` + `organization` slices	**Structural conflict:** adapter/file layout ≠ store type layout	`src/store/index.ts` (contract) · adapters follow folder ergonomics	Store interface → adapter compose slices	P2	A
Memory vs Drizzle capability	Compile-time `Missing*HumanResourcesMethods` must be `never`	`src/adapters/memory/coverage.ts` · `src/adapters/drizzle/coverage.ts` · `__tests__/*-coverage.test.ts`	Identical guard pattern; both green at typecheck	`HumanResourcesStore` interface	Domain store method → both adapter slices	P2	A,B,C
Package exports	10 subpaths; root barrel excludes resolve-store and memory adapter	`package.json#exports` · `src/index.ts`	Identical intent; memory only via `./testing`	`package.json`	Public import surface → internal modules	P3	A,B,C
